model_variant,threshold_min,metric,mean,ci_low,ci_high,n_seeds
none,30.0,delta_fnr_0_minus_1,0.0653987210500769,0.010787085209338894,0.12476966236298699,30
none,30.0,delta_C_0_minus_1,-0.0011180258902955416,-0.006128137223494117,0.004431506931715485,30
none,30.0,delta_J_0_minus_1,0.010552256619656827,0.0016962243824622297,0.019833031462793478,30
none,30.0,delta_E_0_minus_1,0.0007228763662098894,-0.0005971087381644785,0.002210080116993585,30
none,45.0,delta_fnr_0_minus_1,0.0653987210500769,0.0076868232569981656,0.12243182734276131,30
none,45.0,delta_C_0_minus_1,0.0005271682573420203,-0.0026999880687183717,0.0036152262862896435,30
none,45.0,delta_J_0_minus_1,0.00420397065006801,0.0005175243856457025,0.008464851640338786,30
none,45.0,delta_E_0_minus_1,0.00028064173133429264,-0.0010202165601386883,0.001662397880168719,30
none,60.0,delta_fnr_0_minus_1,0.0653987210500769,0.007847896770836036,0.12249280143649342,30
none,60.0,delta_C_0_minus_1,4.4876122883373557e-05,-0.002306965941923687,0.002366976507079292,30
none,60.0,delta_J_0_minus_1,0.0014490908877579096,-0.0002419098495333518,0.003419118943783734,30
none,60.0,delta_E_0_minus_1,-0.0001365495058249934,-0.0010437676591749595,0.0008012421863420137,30
none,90.0,delta_fnr_0_minus_1,0.0653987210500769,0.008482448117773607,0.12521652463870991,30
none,90.0,delta_C_0_minus_1,-0.0006086366728174168,-0.001457278062995001,0.0002831355481068635,30
none,90.0,delta_J_0_minus_1,-0.00023518990441227325,-0.000662183422534622,0.0002234499526488332,30
none,90.0,delta_E_0_minus_1,-0.0002831186348929008,-0.0006368485356832512,6.735390681458454e-05,30
post_processing,30.0,delta_fnr_0_minus_1,-0.07160880485324007,-0.14523422154940382,0.004522202710900425,30
post_processing,30.0,delta_C_0_minus_1,-0.0011180258902955416,-0.006437676024033286,0.004155772311027895,30
post_processing,30.0,delta_J_0_minus_1,-0.009722795435935289,-0.021561532809765218,0.0020200292994886526,30
post_processing,30.0,delta_E_0_minus_1,0.0003265113903438742,-0.0017222128456159125,0.002649463524550109,30
post_processing,45.0,delta_fnr_0_minus_1,-0.07160880485324007,-0.15134474785141017,0.005624235941394933,30
post_processing,45.0,delta_C_0_minus_1,0.0005271682573420203,-0.0025393915603299307,0.0035646287822863887,30
post_processing,45.0,delta_J_0_minus_1,-0.0038374691891152365,-0.008218559397415337,0.0008101589338171937,30
post_processing,45.0,delta_E_0_minus_1,-0.0001273745331147904,-0.0013688059314887198,0.0013030644065622423,30
post_processing,60.0,delta_fnr_0_minus_1,-0.07160880485324007,-0.15083276057237835,0.0055066886681998115,30
post_processing,60.0,delta_C_0_minus_1,4.4876122883373557e-05,-0.00236369925125432,0.0023496477068882158,30
post_processing,60.0,delta_J_0_minus_1,-0.002159459486626644,-0.003927171584983093,-0.0003945604604040965,30
post_processing,60.0,delta_E_0_minus_1,-0.00042670903263214086,-0.001195058657547413,0.00030240794309298026,30
post_processing,90.0,delta_fnr_0_minus_1,-0.07160880485324007,-0.14490340723167233,0.00029719218995903033,30
post_processing,90.0,delta_C_0_minus_1,-0.0006086366728174168,-0.0014771045560331984,0.00028216316928901216,30
post_processing,90.0,delta_J_0_minus_1,-0.0005544118622371735,-0.0009095556718856012,-0.0001471420415683553,30
post_processing,90.0,delta_E_0_minus_1,-0.00010805080086814271,-0.00041780033147601647,0.00022664438266493917,30
reweighing,30.0,delta_fnr_0_minus_1,-0.0032678248890749976,-0.06773213556763018,0.06705677961822207,30
reweighing,30.0,delta_C_0_minus_1,-0.0011180258902955416,-0.006722013378497425,0.004100233887798239,30
reweighing,30.0,delta_J_0_minus_1,0.0007683414659527879,-0.009220762088017465,0.010612965466452629,30
reweighing,30.0,delta_E_0_minus_1,0.0007323171880545532,-0.0009579611107749873,0.002313011770891906,30
reweighing,45.0,delta_fnr_0_minus_1,-0.0032678248890749976,-0.06999073882079879,0.06289867866842888,30
reweighing,45.0,delta_C_0_minus_1,0.0005271682573420203,-0.0027010742683938084,0.003718541252190645,30
reweighing,45.0,delta_J_0_minus_1,0.00035667130942567993,-0.0032565467151148327,0.00436176960052731,30
reweighing,45.0,delta_E_0_minus_1,0.00020720343458440475,-0.0009316424041012941,0.0013698629979304274,30
reweighing,60.0,delta_fnr_0_minus_1,-0.0032678248890749976,-0.08016436467452331,0.0639055162491395,30
reweighing,60.0,delta_C_0_minus_1,4.4876122883373557e-05,-0.0022728137979316134,0.002262322700748933,30
reweighing,60.0,delta_J_0_minus_1,-8.129340926725989e-05,-0.002024822398730945,0.002035486316059624,30
reweighing,60.0,delta_E_0_minus_1,-7.600909914472995e-05,-0.0009287168885122627,0.0008369521043072743,30
reweighing,90.0,delta_fnr_0_minus_1,-0.0032678248890749976,-0.06991706747482007,0.06335845969672667,30
reweighing,90.0,delta_C_0_minus_1,-0.0006086366728174168,-0.0014538591077972634,0.0002959647273235897,30
reweighing,90.0,delta_J_0_minus_1,-0.0004175455220620133,-0.0007524873328180304,-4.82846252428012e-05,30
reweighing,90.0,delta_E_0_minus_1,-0.00023145406165376849,-0.0005375678441684218,6.57806977901986e-05,30
