seed,n_R1,geo_reps_per_case,n_case_location_realizations,n_unique_origins,uniform_facility_sampling
42,42,100,4200,3949,True
43,42,100,4200,3927,True
44,42,100,4200,3947,True
45,42,100,4200,3958,True
46,42,100,4200,3950,True
47,42,100,4200,3962,True
48,42,100,4200,3954,True
49,42,100,4200,3933,True
50,42,100,4200,3941,True
51,42,100,4200,3951,True
52,42,100,4200,3953,True
53,42,100,4200,3950,True
54,42,100,4200,3933,True
55,42,100,4200,3942,True
56,42,100,4200,3931,True
57,42,100,4200,3941,True
58,42,100,4200,3961,True
59,42,100,4200,3942,True
60,42,100,4200,3964,True
61,42,100,4200,3970,True
62,42,100,4200,3946,True
63,42,100,4200,3949,True
64,42,100,4200,3942,True
65,42,100,4200,3935,True
66,42,100,4200,3959,True
67,42,100,4200,3936,True
68,42,100,4200,3940,True
69,42,100,4200,3956,True
70,42,100,4200,3934,True
71,42,100,4200,3928,True
