threshold_min,scenario,metric,mean,ci_low,ci_high,n_seeds
30.0,S0,fnr,0.22539682539682535,0.20396825396825388,0.24684523809523806,30
30.0,S0,C,0.14561111111111108,0.14393650793650795,0.14717480158730156,30
30.0,S0,J,0.03273015873015868,0.02963432539682535,0.03627023809523806,30
30.0,S1,fnr,0.1777777777777777,0.15158730158730152,0.20317460317460315,30
30.0,S1,C,0.14561111111111108,0.1438410714285714,0.1472065476190476,30
30.0,S1,J,0.025603174603174565,0.021641666666666635,0.029492857142857112,30
30.0,S2,fnr,0.22539682539682535,0.20317460317460315,0.2468452380952381,30
30.0,S2,C,0.07202380952380948,0.0706267857142857,0.07341269841269837,30
30.0,S2,J,0.016119047619047575,0.014468253968253925,0.01776984126984122,30
30.0,S3,fnr,0.1777777777777777,0.14998015873015863,0.20317460317460315,30
30.0,S3,C,0.07202380952380948,0.0706742063492063,0.07338988095238089,30
30.0,S3,J,0.012523809523809475,0.01056349206349202,0.014334325396825349,30
60.0,S0,fnr,0.22539682539682535,0.2039484126984126,0.24761904761904757,30
60.0,S0,C,0.02226984126984122,0.02132539682539677,0.02324623015873012,30
60.0,S0,J,0.004880952380952333,0.004317261904761853,0.005452579365079317,30
60.0,S1,fnr,0.1777777777777777,0.14999999999999997,0.20238095238095236,30
60.0,S1,C,0.02226984126984122,0.02126924603174598,0.023277777777777727,30
60.0,S1,J,0.0037936507936507527,0.003190277777777747,0.004389087301587257,30
60.0,S2,fnr,0.22539682539682535,0.20238095238095236,0.24605158730158724,30
60.0,S2,C,0.006833333333333295,0.006325396825396782,0.007349206349206313,30
60.0,S2,J,0.0016031746031745602,0.0013968253968253534,0.0018333333333332897,30
60.0,S3,fnr,0.1777777777777777,0.14999999999999997,0.20396825396825394,30
60.0,S3,C,0.006833333333333295,0.006349206349206311,0.007397023809523768,30
60.0,S3,J,0.0012777777777777332,0.0010238095238094798,0.00151587301587297,30
