seed,model_variant,threshold_min,delta_fnr_0_minus_1,delta_C_0_minus_1,delta_J_0_minus_1,delta_E_0_minus_1
42,none,30.0,-0.15,0.007374999999999993,-0.018062500000000002,0.0022937499999998
42,none,45.0,-0.15,0.013499999999999998,-0.0010000000000000009,0.0047749999999999
42,none,60.0,-0.15,-0.0024999999999999988,-0.004,-0.00037500000000009997
42,none,90.0,-0.15,-0.00043749999999999995,-0.0009375,-0.00037812499999999993
42,post_processing,30.0,-0.46875,0.007374999999999993,-0.06375,0.0021679687499999
42,post_processing,45.0,-0.46875,0.013499999999999998,-0.02,0.002265625
42,post_processing,60.0,-0.46875,-0.0024999999999999988,-0.010625,-7.81250000000018e-05
42,post_processing,90.0,-0.46875,-0.00043749999999999995,-0.00125,0.0003613281249999
42,reweighing,30.0,-0.34375,0.007374999999999993,-0.0478125,0.0005273437499999
42,reweighing,45.0,-0.34375,0.013499999999999998,-0.0146875,0.0016406249999999
42,reweighing,60.0,-0.34375,-0.0024999999999999988,-0.0071875,0.0005468749999999
42,reweighing,90.0,-0.34375,-0.00043749999999999995,-0.0009375,0.000244140625
43,none,30.0,0.03030303030303033,0.015858585858585905,0.006565656565656601,-0.0031558004285276
43,none,45.0,0.03030303030303033,0.013737373737373701,0.0051515151515151,-0.0007958371594735001
43,none,60.0,0.03030303030303033,0.0022222222222221984,0.0009090909090909002,-0.00043771043771040005
43,none,90.0,0.03030303030303033,-0.0016161616161616001,0.00020202020202020007,0.0006580961126415266
43,post_processing,30.0,0.03030303030303033,0.015858585858585905,0.006565656565656601,-0.0031558004285276
43,post_processing,45.0,0.03030303030303033,0.013737373737373701,0.0051515151515151,-0.0007958371594735001
43,post_processing,60.0,0.03030303030303033,0.0022222222222221984,0.0009090909090909002,-0.00043771043771040005
43,post_processing,90.0,0.03030303030303033,-0.0016161616161616001,0.00020202020202020007,0.0006580961126415266
43,reweighing,30.0,0.03030303030303033,0.015858585858585905,0.006565656565656601,-0.0031558004285276
43,reweighing,45.0,0.03030303030303033,0.013737373737373701,0.0051515151515151,-0.0007958371594735001
43,reweighing,60.0,0.03030303030303033,0.0022222222222221984,0.0009090909090909002,-0.00043771043771040005
43,reweighing,90.0,0.03030303030303033,-0.0016161616161616001,0.00020202020202020007,0.0006580961126415266
44,none,30.0,0.4125,0.0060624999999999984,0.0716875,0.0078507812499999
44,none,45.0,0.4125,0.013374999999999998,0.036625,0.0077171875
44,none,60.0,0.4125,0.004875000000000001,0.0191875,0.0067234374999999
44,none,90.0,0.4125,0.0011875000000000002,0.0026875000000000002,0.0008148437499999999
44,post_processing,30.0,-0.14375,0.0060624999999999984,-0.027625,-0.0078589843749999
44,post_processing,45.0,-0.14375,0.013374999999999998,-0.0041249999999999985,0.0004773437499999999
44,post_processing,60.0,-0.14375,0.004875000000000001,-0.0017500000000000007,0.0005992187499999001
44,post_processing,90.0,-0.14375,0.0011875000000000002,-0.00025,-8.320312500009999e-05
44,reweighing,30.0,0.28125,0.0060624999999999984,0.0444375,0.0003613281249999
44,reweighing,45.0,0.28125,0.013374999999999998,0.0270625,0.0061367187499999
44,reweighing,60.0,0.28125,0.004875000000000001,0.01625,0.0073085937499999
44,reweighing,90.0,0.28125,0.0011875000000000002,0.0026875000000000002,0.001302734375
45,none,30.0,-0.08571428571428572,-0.021428571428571408,-0.014857142857142801,0.0013061224489795214
45,none,45.0,-0.08571428571428572,0.0025714285714285995,-0.004285714285714301,-0.0003428571428571209
45,none,60.0,-0.08571428571428572,-0.0019999999999999983,-0.0031428571428572002,-0.0009714285714285
45,none,90.0,-0.08571428571428572,0.0005714285714285999,-0.0008571428571428,-0.0007428571428571
45,post_processing,30.0,-0.08571428571428572,-0.021428571428571408,-0.014857142857142801,0.0013061224489795214
