seed,threshold_min,scenario,fnr,C,J,joint_event_count,n_geo_realizations,n_repaired_cases
42,30.0,S0,0.21428571428571427,0.14238095238095239,0.02976190476190476,125,4200,5
42,30.0,S1,0.09523809523809523,0.14238095238095239,0.015714285714285715,66,4200,5
42,30.0,S2,0.21428571428571427,0.06833333333333333,0.013571428571428571,57,4200,5
42,30.0,S3,0.09523809523809523,0.06833333333333333,0.008095238095238095,34,4200,5
42,60.0,S0,0.21428571428571427,0.021904761904761906,0.004047619047619047,17,4200,5
42,60.0,S1,0.09523809523809523,0.021904761904761906,0.0019047619047619048,8,4200,5
42,60.0,S2,0.21428571428571427,0.006666666666666667,0.0016666666666666668,7,4200,5
42,60.0,S3,0.09523809523809523,0.006666666666666667,0.0007142857142857143,3,4200,5
43,30.0,S0,0.30952380952380953,0.14976190476190476,0.04595238095238095,193,4200,0
43,30.0,S1,0.30952380952380953,0.14976190476190476,0.04595238095238095,193,4200,0
43,30.0,S2,0.30952380952380953,0.06738095238095237,0.018571428571428572,78,4200,0
43,30.0,S3,0.30952380952380953,0.06738095238095237,0.018571428571428572,78,4200,0
43,60.0,S0,0.30952380952380953,0.020476190476190478,0.005952380952380952,25,4200,0
43,60.0,S1,0.30952380952380953,0.020476190476190478,0.005952380952380952,25,4200,0
43,60.0,S2,0.30952380952380953,0.006190476190476191,0.0016666666666666668,7,4200,0
43,60.0,S3,0.30952380952380953,0.006190476190476191,0.0016666666666666668,7,4200,0
44,30.0,S0,0.2857142857142857,0.1473809523809524,0.04238095238095238,178,4200,4
44,30.0,S1,0.19047619047619047,0.1473809523809524,0.025952380952380952,109,4200,4
44,30.0,S2,0.2857142857142857,0.07476190476190477,0.02214285714285714,93,4200,4
44,30.0,S3,0.19047619047619047,0.07476190476190477,0.012380952380952381,52,4200,4
44,60.0,S0,0.2857142857142857,0.024285714285714285,0.007380952380952381,31,4200,4
44,60.0,S1,0.19047619047619047,0.024285714285714285,0.0038095238095238095,16,4200,4
44,60.0,S2,0.2857142857142857,0.005952380952380952,0.002142857142857143,9,4200,4
44,60.0,S3,0.19047619047619047,0.005952380952380952,0.0011904761904761906,5,4200,4
45,30.0,S0,0.21428571428571427,0.1492857142857143,0.03238095238095238,136,4200,3
45,30.0,S1,0.14285714285714285,0.1492857142857143,0.02,84,4200,3
45,30.0,S2,0.21428571428571427,0.07071428571428572,0.015476190476190477,65,4200,3
45,30.0,S3,0.14285714285714285,0.07071428571428572,0.01,42,4200,3
45,60.0,S0,0.21428571428571427,0.021666666666666667,0.0054761904761904765,23,4200,3
45,60.0,S1,0.14285714285714285,0.021666666666666667,0.0035714285714285713,15,4200,3
45,60.0,S2,0.21428571428571427,0.005952380952380952,0.0019047619047619048,8,4200,3
45,60.0,S3,0.14285714285714285,0.005952380952380952,0.0014285714285714286,6,4200,3
46,30.0,S0,0.23809523809523808,0.15666666666666668,0.03666666666666667,154,4200,1
