seed,model_variant,threshold_min,group,n_clinical_R1,n_geo_realizations,n_unique_origins,fnr,C,J,J_ind,E,D,joint_event_count,constrained_event_count
42,none,30.0,0,10,1000,987,0.1,0.148,0.016,0.0148,0.0011999999999999997,0.009516558812333473,16,148
42,none,30.0,1,32,3200,3056,0.25,0.140625,0.0340625,0.03515625,-0.0010937499999999975,-0.009050505050505031,109,450
42,none,30.0,ALL,42,4200,3949,0.21428571428571427,0.14238095238095239,0.02976190476190476,0.03051020408163265,-0.0007482993197278909,-0.006128145084763392,125,598
42,none,45.0,0,10,1000,987,0.1,0.061,0.009,0.0061,0.002899999999999999,0.05062937551284065,9,61
42,none,45.0,1,32,3200,3056,0.25,0.0475,0.01,0.011875,-0.001875,-0.0414421881475342,32,152
42,none,45.0,ALL,42,4200,3949,0.21428571428571427,0.05071428571428571,0.009761904761904762,0.010867346938775509,-0.001105442176870747,-0.02296195028207873,41,213
42,none,60.0,0,10,1000,987,0.1,0.02,0.001,0.002,-0.001,-0.05102040816326531,1,20
42,none,60.0,1,32,3200,3056,0.25,0.0225,0.005,0.005625,-0.0006249999999999997,-0.028417163967036085,16,72
42,none,60.0,ALL,42,4200,3949,0.21428571428571427,0.021904761904761906,0.004047619047619047,0.004693877551020408,-0.0006462585034013608,-0.030163837263452037,17,92
42,none,90.0,0,10,1000,987,0.1,0.003,0.0,0.00030000000000000003,-0.00030000000000000003,-0.10030090270812438,0,3
42,none,90.0,1,32,3200,3056,0.25,0.0034375,0.0009375,0.000859375,7.812499999999996e-05,0.02280566720830124,3,11
42,none,90.0,ALL,42,4200,3949,0.21428571428571427,0.0033333333333333335,0.0007142857142857143,0.0007142857142857143,0.0,0.0,3,14
42,reweighing,30.0,0,10,1000,987,0.0,0.148,0.0,0.0,0.0,0.0,0,148
42,reweighing,30.0,1,32,3200,3056,0.34375,0.140625,0.0478125,0.04833984375,-0.0005273437499999992,-0.004363636363636347,153,450
42,reweighing,30.0,ALL,42,4200,3949,0.2619047619047619,0.14238095238095239,0.03642857142857143,0.037290249433106576,-0.0008616780045351477,-0.007056651915788137,153,598
42,reweighing,45.0,0,10,1000,987,0.0,0.061,0.0,0.0,0.0,0.0,0,61
42,reweighing,45.0,1,32,3200,3056,0.34375,0.0475,0.0146875,0.016328125,-0.0016406249999999997,-0.036261914629092395,47,152
42,reweighing,45.0,ALL,42,4200,3949,0.2619047619047619,0.05071428571428571,0.01119047619047619,0.013282312925170068,-0.0020918367346938783,-0.04345107514916438,47,213
42,reweighing,60.0,0,10,1000,987,0.0,0.02,0.0,0.0,0.0,0.0,0,20
42,reweighing,60.0,1,32,3200,3056,0.34375,0.0225,0.0071875,0.007734375,-0.0005468749999999996,-0.02486501847115663,23,72
42,reweighing,60.0,ALL,42,4200,3949,0.2619047619047619,0.021904761904761906,0.0054761904761904765,0.005736961451247166,-0.0002607709750566895,-0.01217137293086662,23,92
42,reweighing,90.0,0,10,1000,987,0.0,0.003,0.0,0.0,0.0,0.0,0,3
42,reweighing,90.0,1,32,3200,3056,0.34375,0.0034375,0.0009375,0.001181640625,-0.000244140625,-0.07126771002594146,3,11
42,reweighing,90.0,ALL,42,4200,3949,0.2619047619047619,0.0033333333333333335,0.0007142857142857143,0.0008730158730158731,-0.00015873015873015884,-0.047778308647873885,3,14
42,post_processing,30.0,0,10,1000,987,0.0,0.148,0.0,0.0,0.0,0.0,0,148
42,post_processing,30.0,1,32,3200,3056,0.46875,0.140625,0.06375,0.06591796875,-0.002167968749999999,-0.017939393939393977,204,450
42,post_processing,30.0,ALL,42,4200,3949,0.35714285714285715,0.14238095238095239,0.04857142857142857,0.050850340136054425,-0.0022789115646258545,-0.01866298730359761,204,598
42,post_processing,45.0,0,10,1000,987,0.0,0.061,0.0,0.0,0.0,0.0,0,61
42,post_processing,45.0,1,32,3200,3056,0.46875,0.0475,0.02,0.022265625,-0.0022656250000000003,-0.050075977344937184,64,152
42,post_processing,45.0,ALL,42,4200,3949,0.35714285714285715,0.05071428571428571,0.015238095238095238,0.018112244897959182,-0.002874149659863944,-0.05970107073340469,64,213
42,post_processing,60.0,0,10,1000,987,0.0,0.02,0.0,0.0,0.0,0.0,0,20
42,post_processing,60.0,1,32,3200,3056,0.46875,0.0225,0.010625,0.010546874999999999,7.81250000000018e-05,0.0035521454958795107,34,72
42,post_processing,60.0,ALL,42,4200,3949,0.35714285714285715,0.021904761904761906,0.008095238095238095,0.007823129251700681,0.0002721088435374136,0.012700563058295533,34,92
42,post_processing,90.0,0,10,1000,987,0.0,0.003,0.0,0.0,0.0,0.0,0,3
42,post_processing,90.0,1,32,3200,3056,0.46875,0.0034375,0.00125,0.001611328125,-0.0003613281249999999,-0.10547621083839331,4,11
42,post_processing,90.0,ALL,42,4200,3949,0.35714285714285715,0.0033333333333333335,0.0009523809523809524,0.0011904761904761906,-0.0002380952380952382,-0.07166746297181081,4,14
43,none,30.0,0,9,900,889,0.3333333333333333,0.1622222222222222,0.051111111111111114,0.054074074074074066,-0.002962962962962952,-0.021801533374514015,46,146
43,none,30.0,1,33,3300,3134,0.30303030303030304,0.14636363636363636,0.04454545454545455,0.04435261707988981,0.0001928374655647408,0.001543424241021163,147,483
43,none,30.0,ALL,42,4200,3927,0.30952380952380953,0.14976190476190476,0.04595238095238095,0.046354875283446714,-0.0004024943310657614,-0.003160951651241084,193,629
43,none,45.0,0,9,900,889,0.3333333333333333,0.058888888888888886,0.016666666666666666,0.01962962962962963,-0.0029629629629629624,-0.05346283219353548,15,53
43,none,45.0,1,33,3300,3134,0.30303030303030304,0.04515151515151515,0.011515151515151515,0.013682277318640955,-0.0021671258034894406,-0.0502663477451496,38,149
43,none,45.0,ALL,42,4200,3927,0.30952380952380953,0.048095238095238094,0.012619047619047618,0.014886621315192744,-0.002267573696145126,-0.04952971535272588,53,202
43,none,60.0,0,9,900,889,0.3333333333333333,0.022222222222222223,0.006666666666666667,0.007407407407407408,-0.0007407407407407406,-0.034090909090909116,6,20
43,none,60.0,1,33,3300,3134,0.30303030303030304,0.02,0.005757575757575757,0.006060606060606061,-0.00030303030303030325,-0.015460729746444024,19,66
43,none,60.0,ALL,42,4200,3927,0.30952380952380953,0.020476190476190478,0.005952380952380952,0.006337868480725624,-0.00038548752834467216,-0.01921968095329618,25,86
43,none,90.0,0,9,900,889,0.3333333333333333,0.0011111111111111111,0.0011111111111111111,0.00037037037037037035,0.0007407407407407408,0.6674082313681868,1,1
43,none,90.0,1,33,3300,3134,0.30303030303030304,0.0027272727272727275,0.0009090909090909091,0.0008264462809917356,8.264462809917346e-05,0.030385900941962918,3,9
43,none,90.0,ALL,42,4200,3927,0.30952380952380953,0.002380952380952381,0.0009523809523809524,0.0007369614512471657,0.0002154195011337867,0.09069212410501193,4,10
43,reweighing,30.0,0,9,900,889,0.3333333333333333,0.1622222222222222,0.051111111111111114,0.054074074074074066,-0.002962962962962952,-0.021801533374514015,46,146
43,reweighing,30.0,1,33,3300,3134,0.30303030303030304,0.14636363636363636,0.04454545454545455,0.04435261707988981,0.0001928374655647408,0.001543424241021163,147,483
43,reweighing,30.0,ALL,42,4200,3927,0.30952380952380953,0.14976190476190476,0.04595238095238095,0.046354875283446714,-0.0004024943310657614,-0.003160951651241084,193,629
43,reweighing,45.0,0,9,900,889,0.3333333333333333,0.058888888888888886,0.016666666666666666,0.01962962962962963,-0.0029629629629629624,-0.05346283219353548,15,53
43,reweighing,45.0,1,33,3300,3134,0.30303030303030304,0.04515151515151515,0.011515151515151515,0.013682277318640955,-0.0021671258034894406,-0.0502663477451496,38,149
43,reweighing,45.0,ALL,42,4200,3927,0.30952380952380953,0.048095238095238094,0.012619047619047618,0.014886621315192744,-0.002267573696145126,-0.04952971535272588,53,202
43,reweighing,60.0,0,9,900,889,0.3333333333333333,0.022222222222222223,0.006666666666666667,0.007407407407407408,-0.0007407407407407406,-0.034090909090909116,6,20
43,reweighing,60.0,1,33,3300,3134,0.30303030303030304,0.02,0.005757575757575757,0.006060606060606061,-0.00030303030303030325,-0.015460729746444024,19,66
43,reweighing,60.0,ALL,42,4200,3927,0.30952380952380953,0.020476190476190478,0.005952380952380952,0.006337868480725624,-0.00038548752834467216,-0.01921968095329618,25,86
43,reweighing,90.0,0,9,900,889,0.3333333333333333,0.0011111111111111111,0.0011111111111111111,0.00037037037037037035,0.0007407407407407408,0.6674082313681868,1,1
43,reweighing,90.0,1,33,3300,3134,0.30303030303030304,0.0027272727272727275,0.0009090909090909091,0.0008264462809917356,8.264462809917346e-05,0.030385900941962918,3,9
43,reweighing,90.0,ALL,42,4200,3927,0.30952380952380953,0.002380952380952381,0.0009523809523809524,0.0007369614512471657,0.0002154195011337867,0.09069212410501193,4,10
43,post_processing,30.0,0,9,900,889,0.3333333333333333,0.1622222222222222,0.051111111111111114,0.054074074074074066,-0.002962962962962952,-0.021801533374514015,46,146
43,post_processing,30.0,1,33,3300,3134,0.30303030303030304,0.14636363636363636,0.04454545454545455,0.04435261707988981,0.0001928374655647408,0.001543424241021163,147,483
43,post_processing,30.0,ALL,42,4200,3927,0.30952380952380953,0.14976190476190476,0.04595238095238095,0.046354875283446714,-0.0004024943310657614,-0.003160951651241084,193,629
43,post_processing,45.0,0,9,900,889,0.3333333333333333,0.058888888888888886,0.016666666666666666,0.01962962962962963,-0.0029629629629629624,-0.05346283219353548,15,53
43,post_processing,45.0,1,33,3300,3134,0.30303030303030304,0.04515151515151515,0.011515151515151515,0.013682277318640955,-0.0021671258034894406,-0.0502663477451496,38,149
43,post_processing,45.0,ALL,42,4200,3927,0.30952380952380953,0.048095238095238094,0.012619047619047618,0.014886621315192744,-0.002267573696145126,-0.04952971535272588,53,202
